"","n_s","method","system","pc_l","pc_u","lfc_l","lfc_u","FDR_mean","Power_mean"
"184","20","NBZIMM","gut",0,0.2,0,3,0.605035874662746,0.293843843843844
"185","20","NBZIMM","gut",0.1,0.7,-2,3,0.310023805244528,0.215417773110853
"186","20","NBZIMM","gut",0.2,0.2,-2.5,2.5,0.0876404552540005,0.317792792792793
"187","20","NBZIMM","oral",0,0.2,0,3,0.527599064528244,0.220114942528736
"188","20","NBZIMM","oral",0.1,0.4,-2,3,0.358174067010755,0.274021833477313
"189","20","NBZIMM","oral",0.1,0.7,-2,3,0.231977651181234,0.213125967564313
"190","20","NBZIMM","oral",0.2,0.2,-2.5,2.5,0.074451478958815,0.275431034482759
"191","20","aldex","armpit",0,0.5,0,3,0.00454545454545455,0.475
"192","20","aldex","gut",0,0.2,0,3,0.00486111111111111,0.503866366366366
"193","20","aldex","gut",0.1,0.7,-2,3,0.00277215742004474,0.48737272256905
"194","20","aldex","gut",0.2,0.2,-2.5,2.5,0,0.151182432432433
"195","20","aldex","oral",0,0.2,0,3,0.00958333333333333,0.489252873563218
"196","20","aldex","oral",0.1,0.4,-2,3,0.00428168268806773,0.452438376732897
"197","20","aldex","oral",0.1,0.7,-2,3,0.00314563330764727,0.46838917238974
"198","20","aldex","oral",0.2,0.2,-2.5,2.5,0.00416666666666666,0.15735632183908
"199","20","aldex_lin","armpit",0,0.5,0,3,0.0213064713064713,0.630555555555556
"200","20","aldex_lin","gut",0,0.2,0,3,0.019273643023643,0.615765765765766
"201","20","aldex_lin","gut",0.1,0.7,-2,3,0.00473192133644466,0.554914575061599
"202","20","aldex_lin","gut",0.2,0.2,-2.5,2.5,0.0110119047619048,0.290202702702703
"203","20","aldex_lin","oral",0,0.2,0,3,0.0201691729323308,0.610057471264368
"204","20","aldex_lin","oral",0.1,0.4,-2,3,0.0371201789515525,0.550879972438192
"205","20","aldex_lin","oral",0.1,0.7,-2,3,0.00662539299528864,0.557662223357056
"206","20","aldex_lin","oral",0.2,0.2,-2.5,2.5,0.0181314124472019,0.310316091954023
"207","20","ancombc2","armpit",0,0.5,0,3,0.116666666666667,0.166666666666667
"208","20","ancombc2","gut",0,0.2,0,3,0,0.194406906906907
"209","20","ancombc2","gut",0.1,0.7,-2,3,0.069922969187675,0.125671189611908
"210","20","ancombc2","gut",0.2,0.2,-2.5,2.5,0,0.0697447447447447
"211","20","ancombc2","oral",0,0.2,0,3,0,0.114885057471264
"212","20","ancombc2","oral",0.1,0.4,-2,3,0.00408333333333333,0.143490096260644
"213","20","ancombc2","oral",0.1,0.7,-2,3,0.0665238095238095,0.044975032433093
"214","20","ancombc2","oral",0.2,0.2,-2.5,2.5,0,0.0743103448275863
"215","20","linda","armpit",0,0.5,0,3,0.121834068709069,0.525
"216","20","linda","gut",0,0.2,0,3,0.0550345684699231,0.514864864864865
"217","20","linda","gut",0.1,0.7,-2,3,0.0569694924583095,0.442572081115126
"218","20","linda","gut",0.2,0.2,-2.5,2.5,0.0376632689793923,0.391629129129129
"219","20","linda","oral",0,0.2,0,3,0.0688630820074318,0.521436781609195
"220","20","linda","oral",0.1,0.4,-2,3,0.0278012232181977,0.503261909169443
"221","20","linda","oral",0.1,0.7,-2,3,0.146261153770474,0.369129597794906
"222","20","linda","oral",0.2,0.2,-2.5,2.5,0.0337784301304638,0.374425287356322
"223","20","lmerseq","armpit",0,0.5,0,3,0.317923976608187,0.344444444444444
"224","20","maaslin2","armpit",0,0.5,0,3,0.470385243841126,0.236111111111111
"225","20","maaslin2","gut",0,0.2,0,3,0.396715358462769,0.3878003003003
"226","20","maaslin2","gut",0.1,0.7,-2,3,0.131063571766856,0.351548490803037
"227","20","maaslin2","gut",0.2,0.2,-2.5,2.5,0.0455053110721789,0.37850975975976
"228","20","maaslin2","oral",0,0.2,0,3,0.379907368651975,0.309655172413793
"229","20","maaslin2","oral",0.1,0.4,-2,3,0.248398581410402,0.364207741988564
"230","20","maaslin2","oral",0.1,0.7,-2,3,0.149156657029978,0.321278710170355
"231","20","maaslin2","oral",0.2,0.2,-2.5,2.5,0.039637073339356,0.347183908045977
"232","20","maaslin3","armpit",0,0.5,0,3,0.2020115995116,0.286111111111111
"233","20","maaslin3","gut",0,0.2,0,3,0.0593331339712918,0.404316816816817
"234","20","maaslin3","gut",0.1,0.7,-2,3,0.101480048231881,0.354000272710122
"235","20","maaslin3","oral",0,0.2,0,3,0.203630536130536,0.343735632183908
"236","20","maaslin3","oral",0.1,0.4,-2,3,0.0942265322261458,0.335027057879798
"237","20","maaslin3","oral",0.1,0.7,-2,3,0.123112313110504,0.321036312057852
"238","200","NBZIMM","armpit",0,0.5,0,3,0.62362878721312,0.56797385620915
"239","200","NBZIMM","gut",0,0.2,0,3,0.837883818322277,0.644444444444445
"240","200","NBZIMM","gut",0.1,0.7,-2,3,0.295163890293356,0.48804325021407
"241","200","NBZIMM","gut",0.2,0.2,-2.5,2.5,0.2057143833139,0.686786786786787
"242","200","NBZIMM","oral",0,0.2,0,3,0.828587544745213,0.65919540229885
"243","200","NBZIMM","oral",0.1,0.4,-2,3,0.572543147848962,0.63049060685227
"244","200","NBZIMM","oral",0.1,0.7,-2,3,0.292465835700285,0.504545690289771
"245","200","NBZIMM","oral",0.2,0.2,-2.5,2.5,0.16328408001856,0.703247126436782
"246","200","aldex","armpit",0,0.5,0,3,0,0.749183006535948
"247","200","aldex","gut",0,0.2,0,3,0.0134957713155711,0.842867867867868
"248","200","aldex","gut",0.1,0.7,-2,3,0.000462962962962963,0.720061220696849
"249","200","aldex","gut",0.2,0.2,-2.5,2.5,0,0.558051801801802
"250","200","aldex","oral",0,0.2,0,3,0.010780751506558,0.823793103448276
"251","200","aldex","oral",0.1,0.4,-2,3,0.0118861294903169,0.684434312568405
"252","200","aldex","oral",0.1,0.7,-2,3,0.000515463917525775,0.696746778596168
"253","200","aldex","oral",0.2,0.2,-2.5,2.5,0,0.571005747126437
"254","200","aldex_lin","armpit",0,0.5,0,3,0.00294117647058823,0.776960784313726
"255","200","aldex_lin","gut",0,0.2,0,3,0.0226739681886741,0.865015015015015
"256","200","aldex_lin","gut",0.1,0.7,-2,3,0.000450450450450451,0.730078776620168
"257","200","aldex_lin","gut",0.2,0.2,-2.5,2.5,0,0.57256006006006
"258","200","aldex_lin","oral",0,0.2,0,3,0.0275453712953713,0.852701149425287
"259","200","aldex_lin","oral",0.1,0.4,-2,3,0.0370406260139082,0.700829465149116
"260","200","aldex_lin","oral",0.1,0.7,-2,3,0,0.716093747104774
"261","200","aldex_lin","oral",0.2,0.2,-2.5,2.5,0.00277777777777778,0.593218390804598
"262","200","ancombc2","armpit",0,0.5,0,3,0.170103355866127,0.701960784313726
"263","200","ancombc2","gut",0,0.2,0,3,0.00319472616632861,0.800262762762763
"264","200","ancombc2","gut",0.1,0.7,-2,3,0.301626460087843,0.439495650291293
"265","200","ancombc2","gut",0.2,0.2,-2.5,2.5,0.0010204081632653,0.630386636636637
"266","200","ancombc2","oral",0,0.2,0,3,0.00505050505050506,0.764425287356322
"267","200","ancombc2","oral",0.1,0.4,-2,3,0.00396020582145902,0.709136102869221
"268","200","ancombc2","oral",0.1,0.7,-2,3,0.310651961060517,0.443241909926015
"269","200","ancombc2","oral",0.2,0.2,-2.5,2.5,0,0.634166666666667
"270","200","linda","armpit",0,0.5,0,3,0.334109425662057,0.843790849673203
"271","200","linda","gut",0,0.2,0,3,0.193251006098142,0.878716216216216
"272","200","linda","gut",0.1,0.7,-2,3,0.103852175705677,0.772105592735612
"273","200","linda","gut",0.2,0.2,-2.5,2.5,0.0275757779436425,0.715746996996997
"274","200","linda","oral",0,0.2,0,3,0.271087218751642,0.874712643678161
"275","200","linda","oral",0.1,0.4,-2,3,0.138219257172858,0.812877396738819
"276","200","linda","oral",0.1,0.7,-2,3,0.160238337692052,0.706774885027693
"277","200","linda","oral",0.2,0.2,-2.5,2.5,0.0502727599344501,0.740114942528736
"278","200","lmerseq","armpit",0,0.5,0,3,0.583376339934942,0.66884531590414
"279","200","lmerseq","gut",0,0.2,0,3,0.712962962962963,0.837837837837838
"280","200","lmerseq","gut",0.1,0.7,-2,3,0.22749153835383,0.665820561941251
"281","200","lmerseq","gut",0.2,0.2,-2.5,2.5,0.101694915254237,0.736111111111111
"282","200","lmerseq","oral",0,0.2,0,3,0.748127983719659,0.777841634738186
"283","200","lmerseq","oral",0.1,0.4,-2,3,0.511181063183026,0.735501050868712
"284","200","lmerseq","oral",0.1,0.7,-2,3,0.247787220173507,0.625796729441701
"285","200","lmerseq","oral",0.2,0.2,-2.5,2.5,0.0921348022274087,0.747372742200328
"286","200","maaslin2","armpit",0,0.5,0,3,0.607232068932448,0.595588235294118
"287","200","maaslin2","gut",0,0.2,0,3,0.813183215122946,0.727027027027027
"288","200","maaslin2","gut",0.1,0.7,-2,3,0.244490079867263,0.630528447927184
"289","200","maaslin2","gut",0.2,0.2,-2.5,2.5,0.110565636217055,0.708051801801802
"290","200","maaslin2","oral",0,0.2,0,3,0.820064030086571,0.711781609195402
"291","200","maaslin2","oral",0.1,0.4,-2,3,0.547211620120776,0.69477692288082
"292","200","maaslin2","oral",0.1,0.7,-2,3,0.261129838922828,0.589834286552342
"293","200","maaslin2","oral",0.2,0.2,-2.5,2.5,0.119602776787049,0.732385057471264
"294","200","maaslin3","armpit",0,0.5,0,3,0.126885577657637,0.648856209150327
"295","200","maaslin3","gut",0,0.2,0,3,0.0572686195072179,0.727064564564565
"296","200","maaslin3","gut",0.1,0.7,-2,3,0.263605343817682,0.570148346542714
"297","200","maaslin3","gut",0.2,0.2,-2.5,2.5,0.0194126817857016,0.677871621621622
"298","200","maaslin3","oral",0,0.2,0,3,0.134807804641541,0.743965517241379
"299","200","maaslin3","oral",0.1,0.4,-2,3,0.119549031560681,0.657948040313128
"300","200","maaslin3","oral",0.1,0.7,-2,3,0.26528438241866,0.564071507735899
"301","200","maaslin3","oral",0.2,0.2,-2.5,2.5,0.0338720143959066,0.693103448275862
"302","250","NBZIMM","armpit",0,0.5,0,3,0.632048331298331,0.538888888888889
"303","250","NBZIMM","gut",0,0.2,0,3,0.841245349031431,0.637875375375376
"304","250","NBZIMM","gut",0.1,0.7,-2,3,0.291426531271242,0.495543171990976
"305","250","NBZIMM","gut",0.2,0.2,-2.5,2.5,0.293963891743284,0.720307807807808
"306","250","NBZIMM","oral",0,0.2,0,3,0.830681064822718,0.679137931034483
"307","250","NBZIMM","oral",0.1,0.4,-2,3,0.575890088377421,0.620239047266445
"308","250","NBZIMM","oral",0.1,0.7,-2,3,0.283001190992811,0.51119296897755
"309","250","NBZIMM","oral",0.2,0.2,-2.5,2.5,0.248167205601076,0.697758620689655
"310","250","aldex","armpit",0,0.5,0,3,0.00627450980392157,0.744444444444445
"311","250","aldex","gut",0,0.2,0,3,0.0135440668202765,0.810960960960961
"312","250","aldex","gut",0.1,0.7,-2,3,0,0.721061984025789
"313","250","aldex","gut",0.2,0.2,-2.5,2.5,0,0.582657657657658
"314","250","aldex","oral",0,0.2,0,3,0.00378571428571429,0.811436781609195
"315","250","aldex","oral",0.1,0.4,-2,3,0.0102992649997067,0.691332325476161
"316","250","aldex","oral",0.1,0.7,-2,3,0,0.686976266017999
"317","250","aldex","oral",0.2,0.2,-2.5,2.5,0,0.571522988505747
"318","250","aldex_lin","armpit",0,0.5,0,3,0.0142156862745098,0.783333333333333
"319","250","aldex_lin","gut",0,0.2,0,3,0.0108679659167742,0.831831831831832
"320","250","aldex_lin","gut",0.1,0.7,-2,3,0,0.730037309433861
"321","250","aldex_lin","gut",0.2,0.2,-2.5,2.5,0,0.596509009009009
"322","250","aldex_lin","oral",0,0.2,0,3,0.0122273097273097,0.865919540229885
"323","250","aldex_lin","oral",0.1,0.4,-2,3,0.0156040067585059,0.702284256859599
"324","250","aldex_lin","oral",0.1,0.7,-2,3,0.000526315789473685,0.69541331194345
"325","250","aldex_lin","oral",0.2,0.2,-2.5,2.5,0.00128205128205128,0.595402298850575
"326","250","ancombc2","armpit",0,0.5,0,3,0.158127269901095,0.738888888888889
"327","250","ancombc2","gut",0,0.2,0,3,0.00668525544255522,0.7878003003003
"328","250","ancombc2","gut",0.1,0.7,-2,3,0.282132479303411,0.470063657082434
