"","n_s","method","system","pc_l","pc_u","FDR_mean","Power_mean"
"156","40","aldex_lin","oral",0.1,0.7,0.0174781950109999,0.573767612081177
"157","40","ancombc2","armpit",0,0.5,0,0.0611111111111111
"158","40","ancombc2","oral",0.1,0.4,0,0.0122564996503353
"159","40","ancombc2","oral",0.1,0.7,0,0.00214075165806927
"160","40","linda","armpit",0,0.5,0.0291666666666667,0.385130718954248
"161","40","linda","oral",0.1,0.4,0.0347515878195994,0.4182883808466
"162","40","linda","oral",0.1,0.7,0.164781903614929,0.282361700403857
"163","40","lmerseq","armpit",0,0.5,0.260972222222222,0.180882352941177
"164","40","lmerseq","oral",0.1,0.4,0.165015770101035,0.36736727138097
"165","40","lmerseq","oral",0.1,0.7,0.0823417161559098,0.315558978325762
"166","40","maaslin2","armpit",0,0.5,0.195436507936508,0.122549019607843
"167","40","maaslin2","oral",0.1,0.4,0.20919041641838,0.309079034513966
"168","40","maaslin2","oral",0.1,0.7,0.0935461066027954,0.26282280600526
"169","6","NBZIMM","armpit",0,0.5,0.133333333333333,0.00277777777777778
"170","6","NBZIMM","oral",0.1,0.4,0.1,0.00268468468468468
"171","6","NBZIMM","oral",0.1,0.7,0.0166666666666666,0.00297758791364929
"172","6","aldex","armpit",0,0.5,0,0
"173","6","aldex","oral",0.1,0.4,0,0.0100818318318318
"174","6","aldex","oral",0.1,0.7,0.025,0.0101815864712165
"175","6","aldex_lin","armpit",0,0.5,0.311781968031968,0.405555555555556
"176","6","aldex_lin","oral",0.1,0.4,0.150795753955061,0.27659009009009
"177","6","aldex_lin","oral",0.1,0.7,0.034446667315173,0.288291232030806
"178","6","ancombc2","armpit",0,0.5,0.05,0
"179","6","ancombc2","oral",0.1,0.4,0.05,0.00271246246246246
"180","6","ancombc2","oral",0.1,0.7,0,0.00042016806722689
"181","6","linda","armpit",0,0.5,0.15,0
"182","6","linda","oral",0.1,0.4,0.254166666666667,0.0154782282282282
"183","6","linda","oral",0.1,0.7,0.104166666666667,0.0170017612382441
"184","6","lmerseq","armpit",0,0.5,0,0
"185","6","maaslin2","armpit",0,0.5,0.075,0.00277777777777778
"186","6","maaslin2","oral",0.1,0.4,0.266666666666667,0.0148220720720721
"187","6","maaslin2","oral",0.1,0.7,0.155,0.0122679918248852
"188","8","NBZIMM","armpit",0,0.5,0.2,0.00833333333333334
"189","8","NBZIMM","oral",0.1,0.4,0.0458333333333333,0.00953376321527006
"190","8","NBZIMM","oral",0.1,0.7,0.0583333333333333,0.00932712131822072
"191","8","aldex","armpit",0,0.5,0.05,0.00833333333333334
"192","8","aldex","oral",0.1,0.4,0,0.0114511909169443
"193","8","aldex","oral",0.1,0.7,0.01,0.0199607506732758
"194","8","aldex_lin","armpit",0,0.5,0.247567812089871,0.511111111111111
"195","8","aldex_lin","oral",0.1,0.4,0.121770144080792,0.32231611748735
"196","8","aldex_lin","oral",0.1,0.7,0.0394261043785697,0.327009888472127
"197","8","ancombc2","armpit",0,0.5,0,0
"198","8","ancombc2","oral",0.1,0.4,0,0
"199","8","ancombc2","oral",0.1,0.7,0.05,0
"200","8","linda","armpit",0,0.5,0.2,0.0166666666666667
"201","8","linda","oral",0.1,0.4,0.0166666666666666,0.012108848574602
"202","8","linda","oral",0.1,0.7,0.175,0.00770117950768278
"203","8","lmerseq","armpit",0,0.5,0.133333333333333,0.00370370370370371
"204","8","lmerseq","oral",0.1,0.4,0,0
"205","8","maaslin2","armpit",0,0.5,0.15,0
"206","8","maaslin2","oral",0.1,0.4,0.15,0.00610059031634374
"207","8","maaslin2","oral",0.1,0.7,0.116666666666667,0.00594031303876655
"208","80","NBZIMM","armpit",0,0.5,0.496815406815407,0.269444444444444
"209","80","NBZIMM","oral",0.1,0.4,0.352298356843037,0.381355310790242
"210","80","NBZIMM","oral",0.1,0.7,0.218639216477159,0.269430098608706
"211","80","aldex","armpit",0,0.5,0.0228937728937729,0.541666666666667
"212","80","aldex","oral",0.1,0.4,0.0125971297895765,0.525425737381217
"213","80","aldex","oral",0.1,0.7,0.00456195219687637,0.520536745193443
"214","80","aldex_lin","armpit",0,0.5,0.0657249694749695,0.738888888888889
"215","80","aldex_lin","oral",0.1,0.4,0.0651684498432482,0.585003260109425
"216","80","aldex_lin","oral",0.1,0.7,0.00746297883860166,0.58987089858836
"217","80","ancombc2","armpit",0,0.5,0.0583333333333333,0.230555555555556
"218","80","ancombc2","oral",0.1,0.4,0.00384615384615385,0.215392077008515
"219","80","ancombc2","oral",0.1,0.7,0.0329370629370629,0.0724511200232889
"220","80","linda","armpit",0,0.5,0.105252386502386,0.566666666666667
"221","80","linda","oral",0.1,0.4,0.0267356862502527,0.553900160434407
"222","80","linda","oral",0.1,0.7,0.158221018340036,0.397399319061717
"223","80","lmerseq","armpit",0,0.5,0.387068511553806,0.391666666666667
"224","80","lmerseq","oral",0.1,0.4,0.253915493734605,0.497118412933481
"225","80","lmerseq","oral",0.1,0.7,0.148763437609172,0.428994488462519
"226","80","maaslin2","armpit",0,0.5,0.443724053724054,0.322222222222222
"227","80","maaslin2","oral",0.1,0.4,0.302053064378501,0.455797904068452
"228","80","maaslin2","oral",0.1,0.7,0.166058653184604,0.385835701867251
