"","method","genus","est","padj","sparsity","log2_mean"
"331","LinDA","g__Gemella",-1.52799362071881,0.429164332590856,0,9
"317","LinDA","g__Gracilibacteria_(GN02)_[G-1]",-2.04730435464201,0.429164332590856,53,3
"275","LinDA","g__Granulicatella",0.312077901992817,0.863702914631675,1,9
"2","LinDA","g__Haemophilus",-0.284825879623952,0.863702914631675,0,12
"149","LinDA","g__Kingella",-2.38116756568406,0.498400190499183,28,5
"128","LinDA","g__Lachnoanaerobaculum",0.346244936194611,0.863702914631675,16,5
"198","LinDA","g__Lachnospiraceae_[G-2]",0.257485536741774,0.863702914631675,53,4
"23","LinDA","g__Lachnospiraceae_[G-3]",-0.0512380690328849,0.975510908542081,67,3
"310","LinDA","g__Lautropia",-3.20345947387944,0.429164332590856,17,7
"79","LinDA","g__Leptotrichia",-0.270543196147238,0.863702914631675,2,10
"289","LinDA","g__Megasphaera",2.5904131979061,0.431800565870176,14,8
"373","LinDA","g__Mogibacterium",1.28565664391865,0.577310371866493,64,3
"72","LinDA","g__Mycoplasma",-1.61848924099722,0.429164332590856,41,5
"247","LinDA","g__Neisseria",-0.269558393744632,0.863702914631675,1,12
"254","LinDA","g__Oribacterium",-1.45922193066048,0.577310371866493,9,8
"359","LinDA","g__Ottowia",0.49640598876954,0.84304664270063,69,3
"212","LinDA","g__Parvimonas",-1.80772966527703,0.577310371866493,35,5
"121","LinDA","g__Peptidiphaga",2.08338233322814,0.275918323434444,69,1
"352","LinDA","g__Peptostreptococcaceae_[XI][G-1]",-0.991007311362729,0.739278786812349,43,3
"16","LinDA","g__Peptostreptococcaceae_[XI][G-7]",-1.22172879530007,0.660467197730817,20,5
"338","LinDA","g__Peptostreptococcus",-1.55184556195734,0.586645444052381,22,5
"226","LinDA","g__Porphyromonas",-0.77122038242458,0.586645444052381,1,10
"51","LinDA","g__Prevotella",0.48607478414766,0.660467197730817,0,12
"156","LinDA","g__Ralstonia",0.0673061759016033,0.975510908542081,52,4
"163","LinDA","g__Rothia",-0.524249731350545,0.815919516447306,1,11
